,linker_id,freq,smi
0,L14841,839,[O-]C(=O)C#CC#CC#CC(=O)[O-]
1,L3167,810,[O-]C(=O)C#CC#CC(=O)[O-]
2,L18174,782,[O-]C(=O)C#CC(=O)[O-]
3,L22147,323,[O-]C(=O)C=CC(=O)[O-]
4,L14334,312,[O-]C(=O)C#CC=CC#CC(=O)[O-]
5,L17021,257,N#CC#CC#N
6,L12959,256,[O-]C(=O)C(=O)[O-]
7,L272,208,[O-]C(=O)C=CC=CC(=O)[O-]
8,L6758,201,[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]
9,L574,196,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
10,L22633,120,N#CC#N
11,L11353,120,[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-]
12,L7097,119,[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-]
13,L4281,113,[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-]
14,L2385,102,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-]
