,linker_id,freq,smi
0,L30147,9048,[O-]C(=O)C#CC#CC#CC(=O)[O-]
1,L54455,7415,[O-]C(=O)C#CC#CC(=O)[O-]
2,L25807,5952,[O-]C(=O)C#CC(=O)[O-]
3,L35734,3833,[O-]C(=O)C#CC=CC#CC(=O)[O-]
4,L10874,3015,N#CC#CC#N
5,L26289,2575,N#CC#N
6,L43406,2422,[O-]C(=O)C=CC(=O)[O-]
7,L42387,1974,[O-]C(=O)C(=O)[O-]
8,L50364,1829,[O-]C(=O)C=CC=CC(=O)[O-]
9,L32684,1253,[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]
10,L46541,1016,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
11,L28306,713,N#CC=CC#N
12,L34819,556,[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-]
13,L1277,497,N#CC(C#N)(C#N)C#N
14,L21263,474,FC(=CC#CC(=O)[O-])C#CC(=O)[O-]
15,L40434,473,ClC(=CC#CC(=O)[O-])C#CC(=O)[O-]
16,L8921,430,[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-]
17,L44101,418,OC(=CC#CC(=O)[O-])C#CC(=O)[O-]
18,L52571,417,[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-]
19,L43149,409,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]
20,L39896,394,N=CC=N
21,L35931,387,NC(=CC#CC(=O)[O-])C#CC(=O)[O-]
22,L38310,386,[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-]
23,L48268,375,[O-]C(=O)c1ccc(cc1)C=Cc1ccc(cc1)C(=O)[O-]
24,L40429,369,CC(=CC#CC(=O)[O-])C#CC(=O)[O-]
25,L50161,360,BrC(=CC#CC(=O)[O-])C#CC(=O)[O-]
26,L39704,359,N#CC(=CC#CC(=O)[O-])C#CC(=O)[O-]
27,L28051,350,[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-]
28,L23944,335,[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-]
29,L47554,332,[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-]
30,L39151,324,[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-]
31,L29714,313,[O-]C(=O)C=CC=C(C(=O)[O-])F
32,L16994,311,[O-]C(=O)c1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-]
33,L26084,301,N#Cc1ccc(cc1)C#N
34,L22973,298,[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-]
35,L23858,294,[O-]C(=O)C=C(C(=O)[O-])F
36,L13707,289,[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]
37,L33258,284,[O-]C(=O)C#Cc1ccc(c(c1)Br)C#CC(=O)[O-]
38,L42448,278,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
39,L50533,273,N=NC(=CC#CC(=O)[O-])C#CC(=O)[O-]
40,L12047,272,[O-]C(=O)C#Cc1ccc(c(c1)O)C#CC(=O)[O-]
41,L7309,254,[O-]C(=O)C=C(C(=O)[O-])O
42,L40950,254,[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]
43,L34871,252,[O-]C(=O)C=CC(=CC(=O)[O-])F
44,L56597,250,[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]
45,L54422,250,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
46,L36996,249,[O-]C(=O)C#Cc1ccc(c(c1)N)C#CC(=O)[O-]
47,L10153,248,[O-]C(=O)C=C(C(=O)[O-])Cl
48,L14420,243,CCC(=CC#CC(=O)[O-])C#CC(=O)[O-]
49,L29504,243,[O-]C(=O)C=C(C(=O)[O-])N
50,L50593,234,[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-]
51,L10727,234,[O-]C(=O)C#Cc1ccc(c(c1)C)C#CC(=O)[O-]
52,L41483,231,[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-]
53,L35924,224,N#Cc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]
54,L15461,224,[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-]
55,L39773,221,[O-]C(=O)C=C(C=C(C(=O)[O-])F)F
56,L5473,219,CCOC(=CC#CC(=O)[O-])C#CC(=O)[O-]
57,L50933,219,[O-]C(=O)C=CC(=CC(=O)[O-])Cl
58,L46103,218,[O-]C(=O)C=C(C(=O)[O-])Br
