,cif,nodes_cansmi,linkers_cansmi,rcsr
0,hMOF-5064625,['[Cu][Cu]'],"['N#CC=C(C#N)N=N', 'O=C1ON[N]C(=C1)C(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]']",pcu
1,hMOF-5959,"['[O-]C(=O)C#CC(=O)[O]12[O]3[Zn]452[O]1[C]1C#C[C]2[O]67[Zn]89[O]%105[Zn]5%11%12[O]1[O]15[O]%12[C]5[O]%12[Zn]%13%10([O]%10[C]3C#C[C]([O]39O[C](O[O]8([C](O4)C#C5)O[C](O6)C#CC(=O)OOC(=O)C#CC(=O)OO[C](C#CC1=O)OOC(=O)C#CC(=O)[O-])C#CC(=O)OO[C](OOC(=O)C#C[C](O3)O7)C#CC(=O)OOC(=O)C#CC(=O)[O]%12%13%10)O%11)O2', '[Zn][O]([Zn])([Zn])[Zn]']",[],
2,hMOF-6002744,['[V]'],"['[O]', 'CCC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])CC', 'CCC12C3C4(C1C1(C2(C3(C41CC)CC)C(=O)[O-])[CH2])C(=O)[O-]']",rna
3,hMOF-29285,['[Cu][Cu]'],"['N#Cc1ccc(c(c1Cl)Cl)C#N', '[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)Cl)C#Cc1cc(Cl)c(cc1Cl)C(=O)[O-]']",pcu
4,hMOF-5065864,['[Cu][Cu]'],"['CCCC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'N#CC#CC#N', '[O-]C(=O)C#CC#CC#CC(=O)[O-]']",pcu
5,hMOF-5034207,['[Zn][Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]', 'N#Cc1ccc(cc1)C#N']",pcu
6,hMOF-32978,['[Cu][Cu]'],"['N#N', 'O=C1OOC(=O)C#CC(=O)OOC(=O)C#CC(=O)OOC(=O)C#CC(=O)OOC(=O)C#CC(=O)OOC(=O)C#CC(=O)OOC(=O)C#C1']",UNKNOWN
7,hMOF-1003415,['[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43'],"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]']",hex
8,hMOF-5016751,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])N)N)N']",pcu
9,hMOF-6004507,['[V]'],"['[O]', '[O-]C(=O)C(=O)[O-]']",rna
10,hMOF-5049626,['[Zn][Zn]'],"['FC(=NF)C=N', '[O-]C(=O)C=CC=C(C(=O)[O-])F', 'FC(=[C]c1cc(F)c(c(c1F)F)C(=O)[O-])C1=CC(=C(C(=[C]1)F)C(=O)[O-])F']",pcu
11,hMOF-5001846,['[Zn][O]([Zn])([Zn])[Zn]'],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C(=O)[O-]']",pcu
