,filename,mmol/g_working_capacity,selectivity
0,DB0-m3_o12_o22_f0_pcu.sym.90,0.370563,13.582315
1,DB0-m3_o16_o460_f0_fsc.sym.19,2.774926,196.043735
2,DB0-m3_o8_o23_f0_pcu.sym.155,0.531669,8.00073
3,DB5-hypotheticalMOF_5044966_0_0_1_3_24_6,1.703426,67.39594
4,DB0-m3_o155_o151_f0_fsc.sym.13,0.937707,26.451195
5,DB12-VULFOZ_clean,0.981401,193.58524
6,DB6-cuf_5225,0.514314,5.909805
7,DB12-AZILEA_clean,0.867467,7.57674
8,DB1-Cu2O8N2-ADC_A-irmof20_A_No185,1.881322,46.204905
9,DB5-hypotheticalMOF_5046842_1_0_1_19_25_5,0.283962,2.47196
10,DB12-ic401157n_si_002_clean,2.673833,92.230995
11,DB15-rob_N123_E51_opt,0.419048,4.104145
12,DB0-m3_o11_o24_f0_pcu.sym.100,0.900709,35.80933
13,DB0-m3_o24_o26_f0_pcu.sym.83,0.321662,7.667575
14,DB12-UFENEZ_clean,0.154855,9.67087
15,DB6-cuf_3421,0.412167,5.10046
17,DB0-m2_o8_o24_f0_pcu.sym.79,0.483785,22.086455
18,DB5-hypotheticalMOF_3002121_1_0_2_34_34_6,0.139744,1.19178
19,DB0-m2_o10_o23_f0_pcu.sym.3,0.704573,14.52857
20,DB0-m2_o11_o18_f0_pcu.sym.17,0.490495,11.256145
21,DB0-m2_o19_nog,0.100745,1.337525
22,DB0-m3_o11_o29_f0_pcu.sym.67,0.624822,8.64049
23,DB12-WIKXAQ_clean,0.102564,2.2059
24,DB12-VULKOD_clean,1.616112,162.956635
25,DB12-EQOXIT_clean,1.531358,93.016625
26,DB0-m3_o12_o26_f0_pcu.sym.76,0.649415,21.1945
27,DB0-m2_o12_o21_f0_pcu.sym.13,0.422948,7.568945
28,DB12-ICIZOL_clean,0.963924,85.752445
29,DB12-YAJXIT_clean,1.033879,86.294855
30,DB15-pcu_N123_E219_opt,1.445808,31.16013
31,DB0-m1_o24_smm,0.21123,8.019015
32,DB12-AGUWUV_clean,1.362206,189.311905
33,DB0-m3_o24_o52_f0_fsc.sym.45,0.565443,27.810585
34,DB5-hypotheticalMOF_5061213_0_0_2_18_7_13,0.242414,2.246065
35,DB0-m2_o16_o25_f0_pcu.sym.16,0.909903,35.77729
36,DB12-TILDIC_freeONLY,0.608114,191.51488
37,DB0-m2_o4_o25_f0_nbo.sym.15,0.172136,1.86954
38,DB0-m3_o11_o21_f0_pcu.sym.26,0.188866,1.874205
39,DB0-m3_o440_o13_f0_fsc.sym.10,1.545639,57.605195
40,DB7-ddmof_5103,0.338521,4.878035
41,DB5-hypotheticalMOF_5072228_1_0_2_19_11_8,0.571893,12.878055
42,DB5-hypotheticalMOF_6001618_0_0_3_15_25_8,0.567137,9.644005
43,DB5-hypotheticalMOF_9173_1_1_0_13_2_10,2.127416,205.121005
44,DB5-hypotheticalMOF_5071179_0_0_2_19_9_8,0.471885,7.04227
45,DB0-m3_o8_o22_f0_pcu.sym.37,0.321241,6.889025
46,DB7-ddmof_21160,0.388785,16.97487
47,DB7-ddmof_21747,0.271416,8.868165
48,DB13-hxg-Syn036418,1.249112,73.30138
49,DB12-CDLGLU10_clean,0.341503,39.005765
50,DB0-m3_o48_o14_f0_fsc.sym.28,1.72674,238.57444
51,DB0-m3_o8_o21_f0_pcu.sym.20,0.210083,2.00079
52,DB0-m3_o24_o96_f0_fsc.sym.4,1.138765,37.17459
53,DB0-m3_o24_o44_f0_fsc.sym.8,1.444115,140.90755
54,DB12-FAVGER_freeONLY,1.042103,121.85897
55,DB0-m3_o24_o450_f0_fsc.sym.14,0.846892,44.220795
56,DB0-m3_o11_o22_f0_pcu.sym.31,0.680516,30.414215
57,DB0-m2_o33_o22_jea,0.167562,1.0791
58,DB5-hypotheticalMOF_5045228_0_0_1_3_3_7,0.678732,28.781495
59,DB0-m3_o1_o15_f0_nbo.sym.20,0.253842,6.897885
60,DB12-MOYMET_freeONLY,0.654124,61.796945
61,DB0-m3_o540_o22_f0_fsc.sym.8,1.661693,69.295315
62,DB12-EMUBOF_clean,0.769997,49.110525
63,DB13-dia-Syn039541,0.366644,4.010305
64,DB0-m3_o24_o43_f0_fsc.sym.5,0.880301,34.227245
65,DB0-m3_o12_o28_f0_pcu.sym.82,0.407983,10.016185
66,DB12-RAKPEZ_clean,0.191077,191.44315
67,DB0-m2_o12_o28_f0_pcu.sym.16,0.653616,21.38924
68,DB0-m1_o9_o20_f0_pcu,0.134204,2.175745
69,DB13-cds-Syn036354,0.176271,1.25691
70,DB0-m2_o22_o24_f0_pcu.sym.10,1.882985,150.239085
71,DB12-ja512437u_si_003_freeONLY,2.060543,180.1128
72,DB7-ddmof_22242,0.151937,2.136735
73,DB0-m3_o11_o20_f0_pcu.sym.62,0.307479,4.635285
74,DB15-sxc_N65_E27_opt,3.368752,39.564535
75,DB0-m3_o32_o29_xbe,0.36076,1.172455
76,DB12-ZUSBOG_clean,2.379183,147.19639
77,DB0-m2_o12_o20_f0_pcu.sym.57,0.087448,2.51449
78,DB0-m3_o3_o15_f0_pcu.sym.17,0.235664,6.23559
79,DB15-pcu_N47_E174_opt,0.601229,8.96024
80,DB5-hypotheticalMOF_5074552_0_0_2_23_11_8,0.493444,5.40415
81,DB12-DAPBIH_neutral,0.534908,29.818275
82,DB5-hypotheticalMOF_5018889_3_0_0_19_18_9,0.138331,1.405465
83,DB0-m3_o10_o23_f0_pcu.sym.63,1.283954,55.122225
84,DB12-TURDOB_clean,2.74803,143.697485
85,DB0-m9_o26_o26_sra_0.125_COMe,0.715674,21.391585
86,DB0-m3_o113_o22_f0_fsc.sym.35,0.844153,315.14056
87,DB0-m3_o11_o28_f0_pcu.sym.23,0.340759,6.72687
88,DB5-hypotheticalMOF_24443_0_0_1_5_9_7,5.785946,225.072265
89,DB5-hypotheticalMOF_5063191_0_0_2_18_22_6,0.363784,2.88178
90,DB12-OQOJUB_freeONLY,1.974988,261.121335
91,DB12-NEDWIE_clean,1.340934,48.134325
92,DB0-m3_o4_o8_f0_pcu.sym.101,0.927887,35.275235
93,DB5-hypotheticalMOF_31188_1_0_2_10_9_4,0.483446,13.25403
94,DB0-m3_o145_o22_f0_fsc.sym.5,2.986698,154.711985
95,DB0-m3_o17_o114_f0_fsc.sym.53,3.8793,193.270855
96,DB0-m3_o24_o1480_f0_fsc.sym.6,1.874965,104.27478
97,DB12-SUNJIV_clean,1.545894,191.2511
98,DB7-ddmof_22425,0.202564,5.12449
99,DB0-m3_o153_o22_f0_fsc.sym.64,2.274991,137.064905
100,DB0-m3_o50_o14_f0_fsc.sym.4,2.070958,208.53786
101,DB0-m3_o11_o23_f0_pcu.sym.8,0.277381,5.599825
102,DB0-m2_o24_o29_f0_pcu.sym.7,0.730323,13.82104
103,DB0-m2_o12_o28_f0_pcu.sym.56,1.047766,38.46863
104,DB0-m3_o24_o1490_f0_fsc.sym.32,1.771526,101.070145
105,DB5-hypotheticalMOF_5069987_0_0_2_3_1_5,0.128529,4.459925
106,DB15-pcu_N37_E119_unopt,0.83422,23.474855
107,DB5-hypotheticalMOF_5048479_0_0_1_19_8_5,1.27218,60.365415
108,DB0-m2_o14_o18_f0_pcu.sym.39,1.793019,68.81314
109,DB12-IXAKAU_freeONLY,1.518274,51.00549
110,DB12-IWOSAP_clean,0.928303,3.877015
111,DB12-BARZOK_freeONLY,0.814042,134.559105
112,DB1-Cu2O8N2-ADC_A-AZO_A_No1089,1.121778,16.634235
113,DB12-SAMLAV_manual,1.994548,129.069925
114,DB0-m3_o24_o44_f0_fsc.sym.22,0.666636,26.3974
115,DB0-m2_o22_o43_f0_fsc,0.516836,10.42205
116,DB0-m3_o1530_o22_f0_fsc.sym.12,1.939112,98.120925
117,DB0-m2_o11_o12_f0_pcu.sym.100,0.278714,5.501055
118,DB12-NOBVOR_freeONLY,2.694677,286.47534
119,DB0-m3_o27_o27_f0_pcu.sym.26,0.280606,1.46401
120,DB0-m3_o1480_o14_f0_fsc.sym.3,2.390646,167.154615
121,DB0-m2_o12_o28_f0_pcu.sym.104,1.069009,34.52699
122,DB0-m2_o1_o7_f0_pcu.sym.21,0.939233,38.754
123,DB0-m2_o22_o27_f0_pcu.sym.47,0.503725,15.29932
124,DB5-hypotheticalMOF_5055125_0_0_1_28_14_5,0.920368,22.039535
125,DB5-hypotheticalMOF_5001556_2_2_0_12_10_10,1.426893,110.473585
126,DB0-m2_o4_o29_f0_nbo.sym.69,0.172004,2.74342
127,DB5-hypotheticalMOF_22733_0_0_1_0_10_4,0.578611,18.790055
128,DB12-JISVAJ_clean,1.685784,55.277575
129,DB0-m3_o1480_o15_f0_fsc.sym.9,1.930156,210.150795
130,DB0-m3_o24_o520_f0_fsc.sym.8,0.366218,9.67618
131,DB5-hypotheticalMOF_5066699_1_0_2_8_24_5,0.370697,7.789165
132,DB0-m2_o7_o59_ins_0.359375_CN,0.232382,1.738125
133,DB5-hypotheticalMOF_6000339_0_0_3_12_24_11,0.726308,24.13021
134,DB0-m2_o10_o27_f0_pcu.sym.51,0.892661,35.913455
135,DB0-m3_o10_o20_f0_pcu.sym.34,0.637791,15.392115
136,DB12-AMUFOF_clean,2.192657,107.505455
137,DB5-hypotheticalMOF_22506_1_0_1_0_21_3,0.486393,13.211585
138,DB5-hypotheticalMOF_5075824_2_0_2_27_17_7,0.354148,3.75995
139,DB12-AJINOY_clean,0.236464,14.487945
140,DB12-VAJTUX_freeONLY,1.759462,129.03393
141,DB0-m3_o155_o1510_f0_fsc.sym.68,1.528007,49.45714
142,DB5-hypotheticalMOF_16756_1_0_1_9_9_4,0.617626,18.935105
143,DB0-m2_o3_o16_f0_pcu.sym.20,0.228251,2.319555
144,DB5-hypotheticalMOF_5035795_3_3_1_18_17_0,1.934377,196.463545
145,DB12-XUFPIZ_clean,0.322199,134.064515
146,DB12-BUBTUP_clean,1.845661,191.216945
147,DB0-m15_o23_o30_jea,0.566404,27.270285
148,DB5-hypotheticalMOF_5063787_1_0_2_15_26_5,0.359231,3.05222
149,DB12-MAYYAN_freeONLY,0.215402,23.867515
150,DB12-FECYUJ_freeONLY,1.341675,69.60441
151,DB0-m2_o12_o19_f0_pcu.sym.29,0.315269,7.68239
152,DB0-m3_o13_o23_f0_pcu.sym.19,0.600204,10.473015
153,DB14-isikif_P1_H,0.556892,46.830045
154,DB0-m3_o24_o78_f0_fsc.sym.25,1.396014,105.957725
155,DB10-pcu_sym_6_mc_3__L_1,2.62127,71.969815
156,DB12-WONXIH_clean,0.501236,113.30798
157,DB7-ddmof_22371,0.162849,0.985415
158,DB5-hypotheticalMOF_5037285_1_1_1_18_11_9,1.04329,86.03932
159,DB12-CEGWER_clean,0.11515,114.42405
160,DB1-Zn2O8N2-AZO_A-DPAC_A_No251,1.460229,34.67106
161,DB0-m3_o11_o29_f0_pcu.sym.27,0.429807,4.94018
162,DB0-m15_o16_o144_f0_fsc,1.597476,55.498105
163,DB12-VIPXUO_freeONLY,0.680736,121.25511
164,DB12-WACLEU_clean,2.692936,137.745455
165,DB5-hypotheticalMOF_5050202_0_0_1_23_12_11,0.19011,2.505455
166,DB12-ABEXUC_clean,1.053327,45.335565
167,DB0-m3_o24_o105_f0_fsc.sym.17,3.259493,116.709485
168,DB0-m3_o24_o145_f0_fsc.sym.33,1.764934,92.31477
169,DB12-BUQWER_clean,1.875499,307.63437
170,DB5-hypotheticalMOF_5069979_0_0_2_3_1_10,1.387528,110.15055
171,DB12-WOWBER_clean,0.022733,2.44609
172,DB0-m2_o11_o25_f0_pcu.sym.14,0.573879,10.56437
173,DB0-m3_o11_o22_f0_pcu.sym.71,1.029589,59.54658
174,DB12-MAYXUG_freeONLY,0.464986,96.895985
175,DB5-hypotheticalMOF_5038442_1_0_1_15_9_3,0.15143,2.088045
176,DB6-cuf_783,0.428047,4.64439
177,DB12-OGEBAF01_freeONLY,0.300921,6.937135
178,DB0-m2_o7_o9_f0_pcu.sym.94,0.703592,20.454345
180,DB7-ddmof_23072,0.40826,13.236525
181,DB5-hypotheticalMOF_5043013_2_0_1_20_25_2,0.192077,1.85018
182,DB0-m3_o13_o26_f0_pcu.sym.20,0.310565,6.999975
183,DB12-IHOTEG_clean,0.051681,3.973005
184,DB0-m23_o28_o29_f0_pcu,0.387599,5.11762
185,DB1-Cu2O8N2-irmof6_A-irmof8_A_No51,1.248945,77.950575
186,DB12-RUYTUC_clean,1.603684,70.721325
187,DB0-m2_o14_o17_f0_pcu.sym.12,1.014722,30.61682
188,DB0-m1_o22_o28_f0_pcu,0.186591,3.987465
189,DB1-Cu2O8N2-AZO_A-DABCO_A_No15,4.466832,107.61893
190,DB0-m3_o8_o22_f0_pcu.sym.77,0.232004,3.85314
191,DB0-m3_o16_o96_f0_fsc.sym.8,0.946829,25.28109
192,DB0-m2_o22_o25_f0_pcu.sym.14,0.768451,36.736545
193,DB6-cuf_4166,0.522991,12.424235
194,DB5-hypotheticalMOF_5082293_0_0_2_29_22_5,0.607545,8.84656
195,DB12-NUCYAN_clean,0.338873,45.18093
196,DB12-BEXRIG_clean,0.125102,2.910445
197,DB12-SISPUH_clean,1.820501,46.508
198,DB0-m2_o10_o23_f0_pcu.sym.37,1.319693,99.85199
199,DB0-m2_o3_o20_f0_pcu.sym.2,0.140397,1.41832
200,DB0-m3_o18_o24_f0_pcu.sym.82,1.142542,45.617515
201,DB0-m3_o158_o47_f0_fsc.sym.21,2.287041,132.260075
202,DB0-m2_o12_o12_f0_pcu.sym.64,0.413286,8.672565
203,DB12-WUFSAT_clean,1.951593,180.97119
204,DB7-ddmof_21306,0.249901,7.010835
205,DB1-Zn2O8N2-irmof20_A-irmof8_A_No39,0.357006,7.05022
207,DB0-m2_o17_o24_f0_pcu.sym.84,1.791179,79.619885
208,DB0-m2_o10_o16_f0_pcu.sym.35,1.588388,79.245965
209,DB12-XIHXET_clean,1.321507,213.972265
210,DB0-m3_o11_o23_f0_pcu.sym.144,0.539254,8.605455
211,DB0-m2_o22_o26_f0_pcu.sym.18,0.252897,5.196505
212,DB12-ZEKRIS_clean,3.511356,218.458795
213,DB0-m2_o10_o20_f0_pcu.sym.20,0.487979,16.958185
214,DB0-m3_o10_o27_f0_pcu.sym.45,1.054246,54.405015
215,DB12-TONLOZ_clean,3.026849,244.838235
216,DB0-m2_o27_o27_f0_pcu.sym.32,0.467765,7.705665
217,DB5-hypotheticalMOF_5064818_1_0_2_15_11_4,0.185935,2.37721
218,DB5-hypotheticalMOF_31059_0_0_2_1_1_2,0.741591,47.58058
219,DB7-ddmof_2278,0.167627,3.434295
220,DB12-WECBOX_clean,0.770849,71.61179
221,DB0-m3_o155_o151_f0_fsc.sym.48,1.466544,70.08658
222,DB1-Cu2O8N2-ADC_A-irmof14_A_No588,0.286044,7.92824
223,DB5-hypotheticalMOF_5014868_0_0_0_3_0_12,1.755414,76.73696
